"company","streetadd","place","state","zip","address","lon","lat"
"Walmart","702 S.W. Eighth St.","Bentonville","Arkansas",72716,"702 S.W. Eighth St., Bentonville, Arkansas",-94.2176381,36.3652654
"Exxon Mobil","5959 Las Colinas Blvd.","Irving","Texas",75039,"5959 Las Colinas Blvd., Irving, Texas",-96.9499086,32.8900057
"Chevron","6001 Bollinger Canyon Rd.","San Ramon","California",94583,"6001 Bollinger Canyon Rd., San Ramon, California",-121.9580965,37.7582505
"Berkshire Hathaway","3555 Farnam St.","Omaha","Nebraska",68131,"3555 Farnam St., Omaha, Nebraska",-95.965497,41.2571596
"Apple","1 Infinite Loop","Cupertino","California",95014,"1 Infinite Loop, Cupertino, California",-122.0302537,37.3318641
"General Motors","300 Renaissance Center","Detroit","Michigan",48265,"300 Renaissance Center, Detroit, Michigan",-83.0392633,42.3288255
"Phillips 66","3010 Briarpark Dr.","Houston","Texas",77042,"3010 Briarpark Dr., Houston, Texas",-95.5503257,29.7322463
"General Electric","3135 Easton Turnpike","Fairfield","Connecticut",6828,"3135 Easton Turnpike, Fairfield, Connecticut",-73.253315,41.2155842
"Ford Motor","1 American Rd.","Dearborn","Michigan",48126,"1 American Rd., Dearborn, Michigan",-83.2087599,42.3162434
"CVS Health","1 CVS Dr.","Woonsocket","Rhode Island",2895,"1 CVS Dr., Woonsocket, Rhode Island",-71.4768726,41.9910183
"McKesson","1 Post St.","San Francisco","California",94104,"1 Post St., San Francisco, California",-122.4027468,37.7887655
"AT&T","208 S. Akard St.","Dallas","Texas",75202,"208 S. Akard St., Dallas, Texas",-96.7988939,32.7795597
"Valero Energy","1 Valero Way","San Antonio","Texas",78249,"1 Valero Way, San Antonio, Texas",-98.6057607,29.5869858
"UnitedHealth Group","9900 Bren Rd. E.","Minnetonka","Minnesota",55343,"9900 Bren Rd. E., Minnetonka, Minnesota",-93.4031453,44.8973515
"Verizon","140 West St.","New York","New York",10007,"140 West St., New York, New York",-74.0132371,40.7139071
"AmerisourceBergen","1300 Morris Dr.","Chesterbrook","Pennsylvania",19087,"1300 Morris Dr., Chesterbrook, Pennsylvania",-75.4683046,40.0686079
"Fannie Mae","3900 Wisconsin Ave. N.W.","Washington","District of Columbia",20016,"3900 Wisconsin Ave. N.W., Washington, District of Columbia",-77.0765028,38.9404337
"Costco","999 Lake Dr.","Issaquah","Washington",98027,"999 Lake Dr., Issaquah, Washington",-122.0506521,47.5485708
"HP","3000 Hanover St.","Palo Alto","California",94304,"3000 Hanover St., Palo Alto, California",-122.145929,37.4146379
"Kroger","1014 Vine St.","Cincinnati","Ohio",45202,"1014 Vine St., Cincinnati, Ohio",-84.5138214,39.1067459
"JP Morgan Chase","270 Park Ave.","New York","New York",10017,"270 Park Ave., New York, New York",-73.9755845,40.7558818
"Express Scripts Holding","1 Express Way","St. Louis","Missouri",63121,"1 Express Way, St. Louis, Missouri",-90.3108872,38.7192232
"Bank of America Corp.","100 N. Tryon St.","Charlotte","North Carolina",28255,"100 N. Tryon St., Charlotte, North Carolina",-80.842323,35.2274955
"IBM","1 New Orchard Rd.","Armonk","New York",10504,"1 New Orchard Rd., Armonk, New York",-73.7239268,41.1086032
"Marathon Petroleum","539 S. Main St.","Findlay","Ohio",45840,"539 S. Main St., Findlay, Ohio",-83.6494426,41.0360917
"Cardinal Health","7000 Cardinal Place","Dublin","Ohio",43017,"7000 Cardinal Place, Dublin, Ohio",-83.1210856,40.1090076
"Boeing","100 N. Riverside Plaza","Chicago","Illinois",60606,"100 N. Riverside Plaza, Chicago, Illinois",-87.6388427,41.8841353
"Citigroup","399 Park Ave.","New York","New York",10022,"399 Park Ave., New York, New York",-73.9719939,40.7592169
"Amazon.com","410 Terry Ave. N.","Seattle","Washington",98109,"410 Terry Ave. N., Seattle, Washington",-122.3365534,47.6221942
"Wells Fargo","420 Montgomery St.","San Francisco","California",94163,"420 Montgomery St., San Francisco, California",-122.4026176,37.7933827
"Microsoft","1 Microsoft Way","Redmond","Washington",98052,"1 Microsoft Way, Redmond, Washington",-122.1282593,47.6393782
"Procter & Gamble","1 Procter & Gamble Plaza","Cincinnati","Ohio",45202,"1 Procter & Gamble Plaza, Cincinnati, Ohio",-84.5052772,39.1032195
"Home Depot","2455 Paces Ferry Rd. N.W.","Atlanta","Georgia",30339,"2455 Paces Ferry Rd. N.W., Atlanta, Georgia",-84.432564,33.8488985
"Archer Daniels Midland","4666 Faries Pkwy.","Decatur","Illinois",62526,"4666 Faries Pkwy., Decatur, Illinois",-88.8877793,39.8657795
"Walgreens","108 Wilmot Rd.","Deerfield","Illinois",60015,"108 Wilmot Rd., Deerfield, Illinois",-87.8688618,42.1555253
"Target","1000 Nicollet Mall","Minneapolis","Minnesota",55403,"1000 Nicollet Mall, Minneapolis, Minnesota",-93.2749496,44.9739309
"Johnson & Johnson","1 Johnson & Johnson Plaza","New Brunswick","New Jersey",8933,"1 Johnson & Johnson Plaza, New Brunswick, New Jersey",-108.688432,45.784441
"Anthem","120 Monument Circle","Indianapolis","Indiana",46204,"120 Monument Circle, Indianapolis, Indiana",-86.1587224,39.7692172
"MetLife","200 Park Ave.","New York","New York",10166,"200 Park Ave., New York, New York",-73.9766668,40.7533488
"Google","1600 Amphitheatre Pkwy.","Mountain View","California",94043,"1600 Amphitheatre Pkwy., Mountain View, California",-122.0841409,37.4222934
"State Farm Insurance Cos.","1 State Farm Plaza","Bloomington","Illinois",61710,"1 State Farm Plaza, Bloomington, Illinois",-88.9548523,40.4771561
"Freddie Mac","8200 Jones Branch Dr.","McLean","Virginia",22102,"8200 Jones Branch Dr., McLean, Virginia",-77.22707,38.9329017
"Comcast","1 Comcast Center","Philadelphia","Pennsylvania",19103,"1 Comcast Center, Philadelphia, Pennsylvania",-75.1684962,39.954703
"PepsiCo","700 Anderson Hill Rd.","Purchase","New York",10577,"700 Anderson Hill Rd., Purchase, New York",-73.6928681,41.0344724
"United Technologies","1 Financial Plaza","Hartford","Connecticut",6101,"1 Financial Plaza, Hartford, Connecticut",-72.6739275,41.7654984
"AIG","175 Water St.","New York","New York",10038,"175 Water St., New York, New York",-74.0051548,40.7063657
"UPS","55 Glenlake Pkwy. N.E.","Atlanta","Georgia",30328,"55 Glenlake Pkwy. N.E., Atlanta, Georgia",-84.3599277,33.9436893
"Dow Chemical","2030 Dow Center","Midland","Michigan",48674,"2030 Dow Center, Midland, Michigan",-84.2002258,43.6143646
"Aetna","151 Farmington Ave.","Hartford","Connecticut",6156,"151 Farmington Ave., Hartford, Connecticut",-72.6912425,41.7671423
"Lowe's","1000 Lowe's Blvd.","Mooresville","North Carolina",28117,"1000 Lowe's Blvd., Mooresville, North Carolina",-80.866276,35.5928972
"ConocoPhillips","600 N. Dairy Ashford St.","Houston","Texas",77079,"600 N. Dairy Ashford St., Houston, Texas",-95.6134428,29.7891986
"Intel","2200 Mission College Blvd.","Santa Clara","California",95054,"2200 Mission College Blvd., Santa Clara, California",-121.9636636,37.3862051
"Energy Transfer Equity","3738 Oak Lawn Ave.","Dallas","Texas",75219,"3738 Oak Lawn Ave., Dallas, Texas",-96.8029104,32.8137385
"Caterpillar","100 N.E. Adams St.","Peoria","Illinois",61629,"100 N.E. Adams St., Peoria, Illinois",-89.5884109,40.691726
"Prudential Financial","751 Broad St.","Newark","New Jersey",7102,"751 Broad St., Newark, New Jersey",-74.1720252,40.7369358
"Pfizer","235 E. 42nd St.","New York","New York",10017,"235 E. 42nd St., New York, New York",-73.9724018,40.7503185
"Disney","500 S. Buena Vista St.","Burbank","California",91521,"500 S. Buena Vista St., Burbank, California",-118.3250894,34.1568097
"Humana","500 W. Main St.","Louisville","Kentucky",40202,"500 W. Main St., Louisville, Kentucky",-85.7585738,38.2563673
"Enterprise Products Partners","1100 Louisiana St.","Houston","Texas",77002,"1100 Louisiana St., Houston, Texas",-95.3688473,29.7575783
"Cisco Systems","170 W. Tasman Dr.","San Jose","California",95134,"170 W. Tasman Dr., San Jose, California",-121.9541545,37.4083615
"Sysco","1390 Enclave Pkwy.","Houston","Texas",77077,"1390 Enclave Pkwy., Houston, Texas",-95.6201065,29.7589177
"Ingram Micro","1600 E. St. Andrew Place","Santa Ana","California",92705,"1600 E. St. Andrew Place, Santa Ana, California",-117.8482847,33.7223957
"Coca-Cola","1 Coca-Cola Plaza","Atlanta","Georgia",30313,"1 Coca-Cola Plaza, Atlanta, Georgia",-84.3813995,33.7539533
"Lockheed Martin","6801 Rockledge Dr.","Bethesda","Maryland",20817,"6801 Rockledge Dr., Bethesda, Maryland",-77.1388991,39.030957
"FedEx","942 S. Shady Grove Rd.","Memphis","Tennessee",38120,"942 S. Shady Grove Rd., Memphis, Tennessee",-89.8580808,35.1054929
"Johnson Controls","5757 N. Green Bay Ave.","Milwaukee","Wisconsin",53209,"5757 N. Green Bay Ave., Milwaukee, Wisconsin",-87.9377695,43.1253092
"Plains GP Holdings","333 Clay St.","Houston","Texas",77002,"333 Clay St., Houston, Texas",-95.3719137,29.7573187
"World Fuel Services","9800 N.W. 41st St.","Miami","Florida",33178,"9800 N.W. 41st St., Miami, Florida",-80.3554135,25.8105865
"CHS","5500 Cenex Dr.","Inver Grove Height","Minnesota",55077,"5500 Cenex Dr., Inver Grove Height, Minnesota",-93.0625501,44.8694296
"American Airlines Group","4333 Amon Carter Blvd.","Fort Worth","Texas",76155,"4333 Amon Carter Blvd., Fort Worth, Texas",-97.0507155,32.8280732
"Merck","1 Merck Dr.","Whitehouse Station","New Jersey",8889,"1 Merck Dr., Whitehouse Station, New Jersey",-74.7790217,40.6425861
"Best Buy","7601 Penn Ave. S.","Richfield","Minnesota",55423,"7601 Penn Ave. S., Richfield, Minnesota",-93.305217,44.8645052
"Delta Air Lines","1030 Delta Blvd.","Atlanta","Georgia",30354,"1030 Delta Blvd., Atlanta, Georgia",-84.4242419,33.6562452
"Honeywell International","101 Columbia Rd.","Morris Township","New Jersey",7962,"101 Columbia Rd., Morris Township, New Jersey",-74.44328,40.7913
"HCA Holdings","1 Park Plaza","Nashville","Tennessee",37203,"1 Park Plaza, Nashville, Tennessee",-86.8138175,36.1536774
"Goldman Sachs Group","200 West St.","New York","New York",10282,"200 West St., New York, New York",-74.01426,40.714901
"Tesoro","19100 Ridgewood Pkwy.","San Antonio","Texas",78259,"19100 Ridgewood Pkwy., San Antonio, Texas",-98.4589557,29.6159513
"Liberty Mutual Insurance Group","175 Berkeley St.","Boston","Massachusetts",2116,"175 Berkeley St., Boston, Massachusetts",-71.0718762,42.3500481
"United Continental Holdings","233 S. Wacker Dr.","Chicago","Illinois",60606,"233 S. Wacker Dr., Chicago, Illinois",-87.6365158,41.8788808
"New York Life Insurance","51 Madison Ave.","New York","New York",10010,"51 Madison Ave., New York, New York",-73.9860976,40.7429387
"Oracle","500 Oracle Pkwy.","Redwood City","California",94065,"500 Oracle Pkwy., Redwood City, California",-122.26242,37.5307052
"Morgan Stanley","1585 Broadway","New York","New York",10036,"1585 Broadway, New York, New York",-73.9855324,40.7600547
"Tyson Foods","2200 Don Tyson Pkwy.","Springdale","Arkansas",72762,"2200 Don Tyson Pkwy., Springdale, Arkansas",-94.1545321,36.1556481
"Safeway","5918 Stoneridge Mall Rd.","Pleasanton","California",94588,"5918 Stoneridge Mall Rd., Pleasanton, California",-121.9329515,37.6973578
"Nationwide","1 Nationwide Blvd.","Columbus","Ohio",43215,"1 Nationwide Blvd., Columbus, Ohio",-83.003068,39.9680291
"Deere","1 John Deere Place","Moline","Illinois",61265,"1 John Deere Place, Moline, Illinois",-90.425591,41.473763
"DuPont","1007 Market St.","Wilmington","Delaware",19898,"1007 Market St., Wilmington, Delaware",-75.5475866,39.7460606
"American Express","200 Vesey St.","New York","New York",10285,"200 Vesey St., New York, New York",-74.0146871,40.7138829
"Allstate","2775 Sanders Rd.","Northbrook","Illinois",60062,"2775 Sanders Rd., Northbrook, Illinois",-87.8704727,42.1009833
"Cigna","900 Cottage Grove Rd.","Bloomfield","Connecticut",6002,"900 Cottage Grove Rd., Bloomfield, Connecticut",-72.7469102,41.8128862
"Mondelez International","3 Pkwy. N.","Deerfield","Illinois",60015,"3 Pkwy. N., Deerfield, Illinois",-87.8799002,42.1625554
"TIAA-CREF","730 Third Ave.","New York","New York",10017,"730 Third Ave., New York, New York",-73.9731835,40.7531278
"INTL FCStone","708 Third Ave.","New York","New York",10017,"708 Third Ave., New York, New York",-73.973565,40.7524167
"Massachusetts Mutual Life Insur","1295 State St.","Springfield","Massachusetts",1111,"1295 State St., Springfield, Massachusetts",-72.5469696,42.1170606
"DirecTV","2260 E. Imperial Hwy.","El Segundo","California",90245,"2260 E. Imperial Hwy., El Segundo, California",-118.3837026,33.9300826
"Halliburton","3000 N. Sam Houston Pkwy E.","Houston","Texas",77032,"3000 N. Sam Houston Pkwy E., Houston, Texas",-95.3403178,29.936954
"Twenty-First Century Fox","1211 Ave. of the Americas","New York","New York",10036,"1211 Ave. of the Americas, New York, New York",-73.9820295,40.7584439
"3M","3M Center","St. Paul","Minnesota",55144,"3M Center, St. Paul, Minnesota",-93.0040589,44.9594532
"Sears Holdings","3333 Beverly Rd.","Hoffman Estates","Illinois",60179,"3333 Beverly Rd., Hoffman Estates, Illinois",-88.2235257,42.0739758
"General Dynamics","2941 Fairview Park Dr.","Falls Church","Virginia",22042,"2941 Fairview Park Dr., Falls Church, Virginia",-77.2148275,38.8689164
"Publix Super Markets","3300 Publix Corporate Pkwy.","Lakeland","Florida",33811,"3300 Publix Corporate Pkwy., Lakeland, Florida",-82.0148064,28.0053629
"Philip Morris International","120 Park Ave.","New York","New York",10017,"120 Park Ave., New York, New York",-73.978317,40.7519491
"TJX","770 Cochituate Rd.","Framingham","Massachusetts",1701,"770 Cochituate Rd., Framingham, Massachusetts",-71.3823478,42.3107584
"Time Warner","1 Time Warner Center","New York","New York",10019,"1 Time Warner Center, New York, New York",-73.9831349,40.7685068
"Macy's","7 W. Seventh St.","Cincinnati","Ohio",45202,"7 W. Seventh St., Cincinnati, Ohio",-84.5141082,39.1033122
"Nike","1 Bowerman Dr.","Beaverton","Oregon",97005,"1 Bowerman Dr., Beaverton, Oregon",-122.8254766,45.5070222
"Tech Data","5350 Tech Data Dr.","Clearwater","Florida",33760,"5350 Tech Data Dr., Clearwater, Florida",-82.707835,27.917127
"Avnet","2211 S. 47th St.","Phoenix","Arizona",85034,"2211 S. 47th St., Phoenix, Arizona",-111.9800088,33.4274752
"Northwestern Mutual","720 E. Wisconsin Ave.","Milwaukee","Wisconsin",53202,"720 E. Wisconsin Ave., Milwaukee, Wisconsin",-87.9019875,43.0394029
"McDonald's","1 McDonald's Plaza","Oak Brook","Illinois",60523,"1 McDonald's Plaza, Oak Brook, Illinois",-87.9447627,41.8352211
"Exelon","10 S. Dearborn St.","Chicago","Illinois",60603,"10 S. Dearborn St., Chicago, Illinois",-87.6297822,41.8811197
"Travelers Cos.","485 Lexington Ave.","New York","New York",10017,"485 Lexington Ave., New York, New York",-73.9735521,40.7542087
"Qualcomm","5775 Morehouse Dr.","San Diego","California",92121,"5775 Morehouse Dr., San Diego, California",-117.1959779,32.8954289
"International Paper","6400 Poplar Ave.","Memphis","Tennessee",38197,"6400 Poplar Ave., Memphis, Tennessee",-89.849916,35.1013398
"Occidental Petroleum","10889 Wilshire Blvd.","Los Angeles","California",90024,"10889 Wilshire Blvd., Los Angeles, California",-118.4431252,34.0592649
"Duke Energy","550 S. Tryon St.","Charlotte","North Carolina",28202,"550 S. Tryon St., Charlotte, North Carolina",-80.8487311,35.2238362
"Rite Aid","30 Hunter Lane","Camp Hill","Pennsylvania",17011,"30 Hunter Lane, Camp Hill, Pennsylvania",-76.9135271,40.2568422
"Gilead Sciences","333 Lakeside Dr.","Foster City","California",94404,"333 Lakeside Dr., Foster City, California",-122.281649,37.5670009
"Baker Hughes","2929 Allen Pkwy.","Houston","Texas",77019,"2929 Allen Pkwy., Houston, Texas",-95.3974727,29.7607456
"Emerson Electric","8000 W. Florissant Ave.","St. Louis","Missouri",63136,"8000 W. Florissant Ave., St. Louis, Missouri",-90.2785119,38.7319882
"EMC","176 South St.","Hopkinton","Massachusetts",1748,"176 South St., Hopkinton, Massachusetts",-71.5438686,42.1941163
"USAA","9800 Fredericksburg Rd.","San Antonio","Texas",78288,"9800 Fredericksburg Rd., San Antonio, Texas",-98.5751922,29.5346649
"Union Pacific","1400 Douglas St.","Omaha","Nebraska",68179,"1400 Douglas St., Omaha, Nebraska",-95.93518,41.259172
"Northrop Grumman","2980 Fairview Park Dr.","Falls Church","Virginia",22042,"2980 Fairview Park Dr., Falls Church, Virginia",-77.2159054,38.8677505
"Alcoa","390 Park Ave.","New York","New York",10022,"390 Park Ave., New York, New York",-73.9729522,40.7597331
"Capital One Financial","1680 Capital One Dr.","McLean","Virginia",22102,"1680 Capital One Dr., McLean, Virginia",-77.21348,38.9242574
"National Oilwell Varco","7909 Parkwood Circle Dr.","Houston","Texas",77036,"7909 Parkwood Circle Dr., Houston, Texas",-95.5545889,29.6916115
"US Foods","9399 W. Higgins Rd.","Rosemont","Illinois",60018,"9399 W. Higgins Rd., Rosemont, Illinois",-87.8577719,41.988686
"Raytheon","870 Winter St.","Waltham","Massachusetts",2451,"870 Winter St., Waltham, Massachusetts",-71.282688,42.4057975
